Date,load,zone
1/2/18 10:00,3085,PGE-NEW
1/2/18 10:00,4046,PSEI
1/2/18 10:00,10889,SCE
1/2/18 10:00,2133,SDGE
1/2/18 10:00,82,VEA
1/2/18 11:00,2508,AZPS
1/2/18 11:00,24597,CA ISO
1/2/18 11:00,3794,NEVP
1/2/18 11:00,5539,PACE
1/2/18 11:00,3093,PACW
1/2/18 11:00,11533,PGE
1/2/18 11:00,3057,PGE-NEW
1/2/18 11:00,3963,PSEI
1/2/18 11:00,10860,SCE
1/2/18 11:00,2129,SDGE
1/2/18 11:00,75,VEA
1/2/18 12:00,2452,AZPS
1/2/18 12:00,24689,CA ISO
1/2/18 12:00,3766,NEVP
1/2/18 12:00,5485,PACE
1/2/18 12:00,3052,PACW
1/2/18 12:00,11491,PGE
1/2/18 12:00,3019,PGE-NEW
1/2/18 12:00,3882,PSEI
1/2/18 12:00,10960,SCE
1/2/18 12:00,2168,SDGE
1/2/18 12:00,70,VEA
1/2/18 13:00,2452,AZPS
1/2/18 13:00,24868,CA ISO
1/2/18 13:00,3738,NEVP
1/2/18 13:00,5433,PACE
1/2/18 13:00,3002,PACW
1/2/18 13:00,11538,PGE
1/2/18 13:00,2958,PGE-NEW
1/2/18 13:00,3816,PSEI
1/2/18 13:00,11069,SCE
1/2/18 13:00,2194,SDGE
1/2/18 13:00,67,VEA
1/2/18 14:00,2518,AZPS
1/2/18 14:00,25138,CA ISO
1/2/18 14:00,3715,NEVP
1/2/18 14:00,5422,PACE
1/2/18 14:00,2957,PACW
1/2/18 14:00,11621,PGE
1/2/18 14:00,2942,PGE-NEW
1/2/18 14:00,3779,PSEI
1/2/18 14:00,11219,SCE
1/2/18 14:00,2235,SDGE
1/2/18 14:00,63,VEA
1/2/18 15:00,2656,AZPS
1/2/18 15:00,25570,CA ISO
1/2/18 15:00,3719,NEVP
1/2/18 15:00,5529,PACE
1/2/18 15:00,2962,PACW
1/2/18 15:00,11637,PGE
1/2/18 15:00,2967,PGE-NEW
1/2/18 15:00,3811,PSEI
1/2/18 15:00,11469,SCE
1/2/18 15:00,2403,SDGE
1/2/18 15:00,61,VEA
1/2/18 16:00,2914,AZPS
1/2/18 16:00,26331,CA ISO
1/2/18 16:00,3897,NEVP
1/2/18 16:00,5922,PACE
1/2/18 16:00,3061,PACW
1/2/18 16:00,11978,PGE
1/2/18 16:00,3084,PGE-NEW
1/2/18 16:00,4010,PSEI
1/2/18 16:00,11734,SCE
1/2/18 16:00,2553,SDGE
1/2/18 16:00,66,VEA
1/2/18 17:00,3163,AZPS
1/2/18 17:00,28631,CA ISO
1/2/18 17:00,4195,NEVP
1/2/18 17:00,6074,PACE
1/2/18 17:00,3218,PACW
1/2/18 17:00,13044,PGE
1/2/18 17:00,3288,PGE-NEW
1/2/18 17:00,4197,PSEI
1/2/18 17:00,12663,SCE
1/2/18 17:00,2850,SDGE
1/2/18 17:00,74,VEA
1/2/18 18:00,3145,AZPS
1/2/18 18:00,28870,CA ISO
1/2/18 18:00,4219,NEVP
1/2/18 18:00,6008,PACE
1/2/18 18:00,3222,PACW
1/2/18 18:00,13235,PGE
1/2/18 18:00,3305,PGE-NEW
1/2/18 18:00,4175,PSEI
1/2/18 18:00,12691,SCE
1/2/18 18:00,2868,SDGE
1/2/18 18:00,76,VEA
1/2/18 19:00,3112,AZPS
1/2/18 19:00,28181,CA ISO
1/2/18 19:00,4169,NEVP
1/2/18 19:00,5907,PACE
1/2/18 19:00,3147,PACW
1/2/18 19:00,12967,PGE
1/2/18 19:00,3242,PGE-NEW
1/2/18 19:00,4064,PSEI
1/2/18 19:00,12353,SCE
1/2/18 19:00,2784,SDGE
1/2/18 19:00,77,VEA
1/2/18 20:00,3026,AZPS
1/2/18 20:00,27316,CA ISO
1/2/18 20:00,4099,NEVP
1/2/18 20:00,5724,PACE
1/2/18 20:00,3040,PACW
1/2/18 20:00,12579,PGE
1/2/18 20:00,3138,PGE-NEW
1/2/18 20:00,3910,PSEI
1/2/18 20:00,11991,SCE
1/2/18 20:00,2670,SDGE
1/2/18 20:00,76,VEA
1/2/18 21:00,2857,AZPS
1/2/18 21:00,26100,CA ISO
1/2/18 21:00,3959,NEVP
1/2/18 21:00,5438,PACE
1/2/18 21:00,2873,PACW
1/2/18 21:00,11974,PGE
1/2/18 21:00,2942,PGE-NEW
1/2/18 21:00,3652,PSEI
1/2/18 21:00,11554,SCE
1/2/18 21:00,2498,SDGE
1/2/18 21:00,74,VEA
1/2/18 22:00,2678,AZPS
1/2/18 22:00,24283,CA ISO
1/2/18 22:00,3786,NEVP
