Category,v 2019  ,Plant ID,Plant Name,Unit,Status,Start Date,Retire Date,Prime mover ID,Prime Mover,Capacity,net MWh,Primary,Primary,Secondary,Secondary
,,,,,,,,,Description,,,Fuel Use MMBTU,Energy Source,Fuel Use MMBTU,Energy Source
S,2019,S0615,Bayshore Solar A,Unit 1,OP,12/20/2017,,PV,Photovoltaic,20,54353,0,SUN,0,N/A
S,2019,S0613,Bayshore Solar B,Unit 1,OP,12/20/2017,,PV,Photovoltaic,20,53745,0,SUN,0,N/A
S,2019,S0614,Bayshore Solar C,Unit 1,OP,12/20/2017,,PV,Photovoltaic,20,53542,0,SUN,0,N/A
S,2019,S0637,Beacon 2,Unit 1,OP,12/29/2017,,PV,Photovoltaic,45,122830,0,SUN,0,N/A
S,2019,S0554,Beacon 3,Unit 1,OP,12/30/2016,,PV,Photovoltaic,60,138199,0,SUN,0,N/A
S,2019,S0555,Beacon 4,Unit 1,OP,12/5/2016,,PV,Photovoltaic,50,122915,0,SUN,0,N/A
S,2019,S0638,Beacon 5,Unit 1,OP,12/29/2017,,PV,Photovoltaic,36,97626,0,SUN,0,N/A
S,2019,S0587,Beacon Solar 1,Unit 1,OP,4/28/2017,,PV,Photovoltaic,56,137922,0,SUN,0,N/A
H,2019,H0507,Bear Creek,GEN1,OP,1/1/1990,,HY,Hydraulic Turbine (conventional),3.2,4878,0,WAT,0,UNK
S,2019,S0303,Bear Creek Solar,1,OP,1/1/2014,,PV,Photovoltaic,1.5,3868.13,0,SUN,0,UNK
G,2019,G0428,Bear Mountain Cogen,LM5000,OP,4/24/1995,,GT,Combustion (gas) Turbine,47,32865,305939,NG,0,UNK
H,2019,H0021,Bear Valley,2-Jan,OP,6/8/1905,,HY,Hydraulic Turbine (conventional),1.5,3389,0.01,WAT,0.01,UNK
G,2019,G0930,Bear Valley Power Plant,1,OP,1/1/2005,,IC,"Internal Combustion Engine (diesel, piston)",1.2,146,1871,NG,0,UNK
G,2019,G0930,Bear Valley Power Plant,2,OP,1/1/2005,,IC,"Internal Combustion Engine (diesel, piston)",1.2,147,1473,NG,0,UNK
G,2019,G0930,Bear Valley Power Plant,3,OP,1/1/2005,,IC,"Internal Combustion Engine (diesel, piston)",1.2,112,922,NG,0,UNK
G,2019,G0930,Bear Valley Power Plant,4,OP,1/1/2005,,IC,"Internal Combustion Engine (diesel, piston)",1.2,19,1421,NG,0,UNK
G,2019,G0930,Bear Valley Power Plant,5,OP,1/1/2005,,IC,"Internal Combustion Engine (diesel, piston)",1.2,66,1366,NG,0,UNK
G,2019,G0930,Bear Valley Power Plant,6,OP,1/1/2005,,IC,"Internal Combustion Engine (diesel, piston)",1.2,0.01,1511,NG,0,UNK
G,2019,G0930,Bear Valley Power Plant,7,OP,1/1/2005,,IC,"Internal Combustion Engine (diesel, piston)",1.2,0.01,1378,NG,0,UNK
H,2019,H0022,Beardsley,1,OP,7/1/1956,,HY,Hydraulic Turbine (conventional),9.99,0.01,0.01,WAT,0.01,UNK
S,2019,S9214,Becca Solar LLC,Unit 1,OP,12/31/2014,,PV,Photovoltaic,1.5,2628,0,SUN,0,N/A
H,2019,H0023,Belden,Unit 552,OP,9/14/1969,,HY,Hydraulic Turbine (conventional),117.9,429605,0,WAT,0,UNK
S,2019,S9038,Beret & Kees Jan De Jong,1,OP,1/1/2012,,PV,Photovoltaic,1,1622,0,SUN,0,N/A
G,2019,G0368,Berry Cogen Midway-Sunset 18MW,1,OP,12/1/1986,,GT,Combustion (gas) Turbine,9.2,60442,768053,NG,0,UNK
G,2019,G0368,Berry Cogen Midway-Sunset 18MW,2,OP,12/1/1986,,GT,Combustion (gas) Turbine,9.2,63425,792537,NG,0,UNK
G,2019,G0638,Berry Cogen Midway-Sunset 38MW,Cogen 18,OP,12/1/1986,,GT,Combustion (gas) Turbine,37.2,293269,3858110,NG,0,UNK
